2026-02-01 18:12:47 | ERROR | stderr | Loading safetensors checkpoint shards:   0% Completed | 0/1 [00:00<?, ?it/s]
2026-02-01 18:12:47 | ERROR | stderr | 
2026-02-01 18:12:47 | ERROR | stderr | Loading safetensors checkpoint shards: 100% Completed | 1/1 [00:00<00:00,  2.25it/s]
2026-02-01 18:12:47 | ERROR | stderr | 
2026-02-01 18:12:47 | ERROR | stderr | Loading safetensors checkpoint shards: 100% Completed | 1/1 [00:00<00:00,  2.25it/s]
2026-02-01 18:12:47 | ERROR | stderr | 
2026-02-01 18:12:47 | ERROR | stderr | 
2026-02-01 18:13:11 | INFO | model_worker | Loading the model ['/scratch/msa6093/models/Qwen2.5-1.5B-Instruct'] on worker 9e28f81a, worker type: vLLM worker...
2026-02-01 18:13:11 | INFO | model_worker | Register to controller
2026-02-01 18:13:11 | INFO | stdout | Namespace(host='0.0.0.0', port=10082, worker_address='http://0.0.0.0:10082', controller_address='http://0.0.0.0:10014', model_path='/scratch/msa6093/models/Qwen2.5-1.5B-Instruct', model_names=None, limit_worker_concurrency=1024, no_register=False, num_gpus=1, conv_template=None, trust_remote_code=True, gpu_memory_utilization=0.88, swap_space=16.0, max_model_length=8192, max_num_sequences=0, enable_chunked_prefill=False, model='/scratch/msa6093/models/Qwen2.5-1.5B-Instruct', task='auto', tokenizer=None, skip_tokenizer_init=False, revision=None, code_revision=None, tokenizer_revision=None, tokenizer_mode='auto', chat_template_text_format='string', allowed_local_media_path=None, download_dir=None, load_format='auto', config_format=<ConfigFormat.AUTO: 'auto'>, dtype='auto', kv_cache_dtype='auto', quantization_param_path=None, max_model_len=8192, guided_decoding_backend='outlines', distributed_executor_backend=None, worker_use_ray=False, pipeline_parallel_size=1, tensor_parallel_size=1, max_parallel_loading_workers=None, ray_workers_use_nsight=False, block_size=16, enable_prefix_caching=False, disable_sliding_window=False, use_v2_block_manager=False, num_lookahead_slots=0, seed=0, cpu_offload_gb=0, num_gpu_blocks_override=None, max_num_batched_tokens=None, max_num_seqs=256, max_logprobs=20, disable_log_stats=False, quantization=None, rope_scaling=None, rope_theta=None, hf_overrides=None, enforce_eager=False, max_seq_len_to_capture=8192, disable_custom_all_reduce=False, tokenizer_pool_size=0, tokenizer_pool_type='ray', tokenizer_pool_extra_config=None, limit_mm_per_prompt=None, mm_processor_kwargs=None, enable_lora=False, enable_lora_bias=False, max_loras=1, max_lora_rank=16, lora_extra_vocab_size=256, lora_dtype='auto', long_lora_scaling_factors=None, max_cpu_loras=None, fully_sharded_loras=False, enable_prompt_adapter=False, max_prompt_adapters=1, max_prompt_adapter_token=0, device='auto', num_scheduler_steps=1, multi_step_stream_outputs=True, scheduler_delay_factor=0.0, speculative_model=None, speculative_model_quantization=None, num_speculative_tokens=None, speculative_disable_mqa_scorer=False, speculative_draft_tensor_parallel_size=None, speculative_max_model_len=None, speculative_disable_by_batch_size=None, ngram_prompt_lookup_max=None, ngram_prompt_lookup_min=None, spec_decoding_acceptance_method='rejection_sampler', typical_acceptance_sampler_posterior_threshold=None, typical_acceptance_sampler_posterior_alpha=None, disable_logprobs_during_spec_decoding=None, model_loader_extra_config=None, ignore_patterns=[], preemption_mode=None, served_model_name=None, qlora_adapter_name_or_path=None, otlp_traces_endpoint=None, collect_detailed_traces=None, disable_async_output_proc=False, scheduling_policy='fcfs', override_neuron_config=None, override_pooler_config=None, disable_log_requests=False)
2026-02-01 18:13:11 | INFO | stdout | **************************************************
2026-02-01 18:13:11 | INFO | stdout | AsyncEngineArgs(model='/scratch/msa6093/models/Qwen2.5-1.5B-Instruct', served_model_name=None, tokenizer='/scratch/msa6093/models/Qwen2.5-1.5B-Instruct', task='auto', skip_tokenizer_init=False, tokenizer_mode='auto', chat_template_text_format='string', trust_remote_code=True, allowed_local_media_path=None, download_dir=None, load_format='auto', config_format=<ConfigFormat.AUTO: 'auto'>, dtype='auto', kv_cache_dtype='auto', quantization_param_path=None, seed=0, max_model_len=8192, worker_use_ray=False, distributed_executor_backend=None, pipeline_parallel_size=1, tensor_parallel_size=1, max_parallel_loading_workers=None, block_size=16, enable_prefix_caching=False, disable_sliding_window=False, use_v2_block_manager=False, swap_space=16.0, cpu_offload_gb=0, gpu_memory_utilization=0.88, max_num_batched_tokens=None, max_num_seqs=256, max_logprobs=20, disable_log_stats=False, revision=None, code_revision=None, rope_scaling=None, rope_theta=None, hf_overrides=None, tokenizer_revision=None, quantization=None, enforce_eager=False, max_seq_len_to_capture=8192, disable_custom_all_reduce=False, tokenizer_pool_size=0, tokenizer_pool_type='ray', tokenizer_pool_extra_config=None, limit_mm_per_prompt=None, mm_processor_kwargs=None, enable_lora=False, enable_lora_bias=False, max_loras=1, max_lora_rank=16, enable_prompt_adapter=False, max_prompt_adapters=1, max_prompt_adapter_token=0, fully_sharded_loras=False, lora_extra_vocab_size=256, long_lora_scaling_factors=None, lora_dtype='auto', max_cpu_loras=None, device='auto', num_scheduler_steps=1, multi_step_stream_outputs=True, ray_workers_use_nsight=False, num_gpu_blocks_override=None, num_lookahead_slots=0, model_loader_extra_config=None, ignore_patterns=[], preemption_mode=None, scheduler_delay_factor=0.0, enable_chunked_prefill=False, guided_decoding_backend='outlines', speculative_model=None, speculative_model_quantization=None, speculative_draft_tensor_parallel_size=None, num_speculative_tokens=None, speculative_disable_mqa_scorer=False, speculative_max_model_len=None, speculative_disable_by_batch_size=None, ngram_prompt_lookup_max=None, ngram_prompt_lookup_min=None, spec_decoding_acceptance_method='rejection_sampler', typical_acceptance_sampler_posterior_threshold=None, typical_acceptance_sampler_posterior_alpha=None, qlora_adapter_name_or_path=None, disable_logprobs_during_spec_decoding=None, otlp_traces_endpoint=None, collect_detailed_traces=None, disable_async_output_proc=False, scheduling_policy='fcfs', override_neuron_config=None, override_pooler_config=None, disable_log_requests=False)
2026-02-01 18:13:11 | ERROR | stderr | INFO:     Started server process [175592]
2026-02-01 18:13:11 | ERROR | stderr | INFO:     Waiting for application startup.
2026-02-01 18:13:11 | ERROR | stderr | INFO:     Application startup complete.
2026-02-01 18:13:11 | ERROR | stderr | INFO:     Uvicorn running on http://0.0.0.0:10082 (Press CTRL+C to quit)
2026-02-01 18:13:26 | INFO | stdout | INFO:     127.0.0.1:59204 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:27 | INFO | stdout | INFO:     127.0.0.1:59210 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:29 | INFO | stdout | INFO:     127.0.0.1:59218 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:29 | INFO | stdout | INFO:     127.0.0.1:59230 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:30 | INFO | stdout | INFO:     127.0.0.1:59242 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:32 | INFO | stdout | INFO:     127.0.0.1:59250 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:33 | INFO | stdout | INFO:     127.0.0.1:38748 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:34 | INFO | stdout | INFO:     127.0.0.1:38758 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:34 | INFO | stdout | INFO:     127.0.0.1:38768 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:36 | INFO | stdout | INFO:     127.0.0.1:38776 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:36 | INFO | stdout | INFO:     127.0.0.1:38786 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:38 | INFO | stdout | INFO:     127.0.0.1:38800 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:39 | INFO | stdout | INFO:     127.0.0.1:38812 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:41 | INFO | stdout | INFO:     127.0.0.1:38814 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:42 | INFO | stdout | INFO:     127.0.0.1:45108 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:43 | INFO | stdout | INFO:     127.0.0.1:45112 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:44 | INFO | stdout | INFO:     127.0.0.1:45128 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:45 | INFO | stdout | INFO:     127.0.0.1:45142 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:46 | INFO | stdout | INFO:     127.0.0.1:45156 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:46 | INFO | stdout | INFO:     127.0.0.1:45164 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:47 | INFO | stdout | INFO:     127.0.0.1:45172 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:47 | INFO | stdout | INFO:     127.0.0.1:45186 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:48 | INFO | stdout | INFO:     127.0.0.1:45198 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:48 | INFO | stdout | INFO:     127.0.0.1:45214 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:49 | INFO | stdout | INFO:     127.0.0.1:45230 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:50 | INFO | stdout | INFO:     127.0.0.1:45246 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:50 | INFO | stdout | INFO:     127.0.0.1:45256 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:51 | INFO | stdout | INFO:     127.0.0.1:45272 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:52 | INFO | stdout | INFO:     127.0.0.1:42178 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:52 | INFO | stdout | INFO:     127.0.0.1:42186 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:53 | INFO | stdout | INFO:     127.0.0.1:42192 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:53 | INFO | stdout | INFO:     127.0.0.1:42208 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:55 | INFO | stdout | INFO:     127.0.0.1:42218 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:56 | INFO | model_worker | Send heart beat. Models: ['/scratch/msa6093/models/Qwen2.5-1.5B-Instruct']. Semaphore: Semaphore(value=1023, locked=False). call_ct: 34. worker_id: 9e28f81a. 
2026-02-01 18:13:57 | INFO | stdout | INFO:     127.0.0.1:42230 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:58 | INFO | stdout | INFO:     127.0.0.1:42246 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:59 | INFO | stdout | INFO:     127.0.0.1:42260 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:13:59 | INFO | stdout | INFO:     127.0.0.1:42262 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:00 | INFO | stdout | INFO:     127.0.0.1:42266 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:00 | INFO | stdout | INFO:     127.0.0.1:42272 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:01 | INFO | stdout | INFO:     127.0.0.1:42282 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:02 | INFO | stdout | INFO:     127.0.0.1:45422 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:03 | INFO | stdout | INFO:     127.0.0.1:45424 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:04 | INFO | stdout | INFO:     127.0.0.1:45438 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:05 | INFO | stdout | INFO:     127.0.0.1:45446 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:06 | INFO | stdout | INFO:     127.0.0.1:45452 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:06 | INFO | stdout | INFO:     127.0.0.1:45458 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:07 | INFO | stdout | INFO:     127.0.0.1:45460 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:07 | INFO | stdout | INFO:     127.0.0.1:45472 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:08 | INFO | stdout | INFO:     127.0.0.1:45476 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:09 | INFO | stdout | INFO:     127.0.0.1:45492 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:10 | INFO | stdout | INFO:     127.0.0.1:45506 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:11 | INFO | stdout | INFO:     127.0.0.1:45508 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:12 | INFO | stdout | INFO:     127.0.0.1:51500 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:13 | INFO | stdout | INFO:     127.0.0.1:51508 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:13 | INFO | stdout | INFO:     127.0.0.1:51514 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:15 | INFO | stdout | INFO:     127.0.0.1:51516 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:15 | INFO | stdout | INFO:     127.0.0.1:51532 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:16 | INFO | stdout | INFO:     127.0.0.1:51540 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:17 | INFO | stdout | INFO:     127.0.0.1:51554 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:17 | INFO | stdout | INFO:     127.0.0.1:51562 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:17 | INFO | stdout | INFO:     127.0.0.1:51570 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:19 | INFO | stdout | INFO:     127.0.0.1:51580 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:19 | INFO | stdout | INFO:     127.0.0.1:51592 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:20 | INFO | stdout | INFO:     127.0.0.1:51600 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:21 | INFO | stdout | INFO:     127.0.0.1:51608 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:21 | INFO | stdout | INFO:     127.0.0.1:51614 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:21 | INFO | stdout | INFO:     127.0.0.1:41234 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:22 | INFO | stdout | INFO:     127.0.0.1:41236 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:23 | INFO | stdout | INFO:     127.0.0.1:41240 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:23 | INFO | stdout | INFO:     127.0.0.1:41256 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:23 | INFO | stdout | INFO:     127.0.0.1:41266 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:24 | INFO | stdout | INFO:     127.0.0.1:41274 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:24 | INFO | stdout | INFO:     127.0.0.1:41290 - "POST /worker_generate HTTP/1.1" 200 OK
2026-02-01 18:14:25 | INFO | stdout | INFO:     127.0.0.1:41292 - "POST /worker_generate HTTP/1.1" 200 OK
